requisition_id,department,country,job_family,seniority_level,open_date,close_date,days_to_fill,candidates_screened,candidates_interviewed,hired_employee_id,source
REQ-00232,Operations,Norge,Individual Contributor,Mid,2022-09-07,2022-09-27,20,43,5,EMP-00782,Agency
REQ-00233,Customer Support,Norge,Specialist,Mid,2022-06-02,2022-06-16,14,31,9,EMP-00786,LinkedIn
REQ-00234,Engineering,Tyskland,Individual Contributor,Junior,2024-04-06,2024-05-25,49,110,10,EMP-00793,Referral
REQ-00235,Engineering,Norge,Individual Contributor,Mid,2022-05-20,2022-07-17,58,142,12,EMP-00794,Internal
REQ-00236,Engineering,Sverige,Individual Contributor,Junior,2024-10-22,2024-12-10,49,89,12,EMP-00795,Referral
REQ-00237,Operations,Norge,Individual Contributor,Junior,2023-11-26,2024-01-30,65,123,10,EMP-00797,Referral
REQ-00238,Engineering,Sverige,Individual Contributor,Mid,2023-12-20,2024-01-30,41,91,9,EMP-00798,Agency
REQ-00239,Engineering,Tyskland,Individual Contributor,Junior,2024-10-22,2024-12-10,49,146,9,EMP-00799,Referral
REQ-00240,Sales,Sverige,Individual Contributor,Junior,2023-03-03,2023-04-14,42,132,15,EMP-00801,LinkedIn
REQ-00241,Sales,Tyskland,Individual Contributor,Mid,2022-07-17,2022-08-27,41,43,6,EMP-00802,LinkedIn
REQ-00242,Engineering,Danmark,Individual Contributor,Junior,2024-08-14,2024-09-29,46,150,4,EMP-00807,Referral
REQ-00243,Engineering,Tyskland,Individual Contributor,Junior,2022-11-18,2023-01-06,49,91,3,EMP-00808,LinkedIn
REQ-00244,Finance,Danmark,Specialist,Mid,2022-04-19,2022-05-22,33,97,15,EMP-00809,LinkedIn
REQ-00245,Engineering,Norge,Individual Contributor,Mid,2023-03-31,2023-05-30,60,48,9,EMP-00813,Internal
REQ-00246,Engineering,Finland,Individual Contributor,Junior,2024-10-22,2024-12-10,49,85,14,EMP-00814,Referral
REQ-00247,R&D,Norge,Individual Contributor,Mid,2024-01-14,2024-01-28,14,54,13,EMP-00817,LinkedIn
REQ-00248,Sales,Finland,Individual Contributor,Mid,2022-12-24,2023-02-01,39,93,14,EMP-00818,Agency
REQ-00249,Engineering,Tyskland,Individual Contributor,Junior,2023-06-09,2023-08-23,75,50,7,EMP-00819,Referral
REQ-00250,Operations,Sverige,Individual Contributor,Mid,2022-02-02,2022-03-21,47,23,3,EMP-00822,LinkedIn
REQ-00251,Engineering,Danmark,Individual Contributor,Junior,2022-07-01,2022-07-27,26,69,8,EMP-00824,Internal
REQ-00252,Finance,Norge,Individual Contributor,Junior,2023-07-24,2023-09-07,45,30,3,EMP-00826,LinkedIn
REQ-00253,Sales,Norge,Individual Contributor,Junior,2024-03-26,2024-05-03,38,148,4,EMP-00827,Job Board
REQ-00254,Engineering,Tyskland,Individual Contributor,Mid,2024-07-14,2024-08-27,44,69,9,EMP-00842,Referral
REQ-00255,Sales,Sverige,Individual Contributor,Junior,2022-11-17,2022-12-05,18,94,9,EMP-00845,Internal
REQ-00256,Engineering,Sverige,Individual Contributor,Junior,2023-10-25,2023-12-01,37,34,8,EMP-00848,Referral
REQ-00257,Engineering,Finland,Individual Contributor,Mid,2022-12-13,2023-02-02,51,41,11,EMP-00852,Job Board
REQ-00258,Engineering,Sverige,Individual Contributor,Mid,2023-09-15,2023-12-01,77,143,9,EMP-00854,Referral
REQ-00259,Engineering,Norge,Individual Contributor,Junior,2024-10-12,2024-12-10,59,137,12,EMP-00860,Job Board
REQ-00260,Finance,Norge,Specialist,Mid,2022-02-06,2022-03-02,24,29,8,EMP-00863,Internal
REQ-00261,Customer Support,Norge,Individual Contributor,Mid,2023-01-05,2023-01-31,26,137,11,EMP-00869,LinkedIn
REQ-00262,Sales,Norge,Individual Contributor,Junior,2024-08-04,2024-09-07,34,85,4,EMP-00872,LinkedIn
REQ-00263,Engineering,Sverige,Individual Contributor,Junior,2023-08-28,2023-10-10,43,32,10,EMP-00874,Referral
REQ-00264,Customer Support,Sverige,Specialist,Mid,2023-06-14,2023-07-19,35,104,3,EMP-00879,Agency
REQ-00265,R&D,Tyskland,Individual Contributor,Junior,2024-07-27,2024-08-28,32,74,8,EMP-00880,LinkedIn
REQ-00266,Engineering,Danmark,Individual Contributor,Mid,2022-05-14,2022-07-04,51,115,4,EMP-00881,LinkedIn
REQ-00267,Sales,Norge,Individual Contributor,Mid,2023-05-01,2023-05-15,14,130,7,EMP-00882,LinkedIn
REQ-00268,R&D,Tyskland,Individual Contributor,Junior,2024-10-24,2024-12-10,47,96,5,EMP-00883,Internal
REQ-00269,R&D,Sverige,Individual Contributor,Mid,2023-09-27,2023-10-23,26,58,14,EMP-00887,Job Board
REQ-00270,Marketing,Sverige,Individual Contributor,Junior,2022-04-15,2022-06-02,48,105,12,EMP-00888,LinkedIn
REQ-00271,Sales,Sverige,Individual Contributor,Junior,2023-02-23,2023-05-01,67,68,15,EMP-00889,LinkedIn
REQ-00272,Finance,Tyskland,Individual Contributor,Mid,2022-08-31,2022-09-14,14,44,8,EMP-00890,Internal
REQ-00273,Operations,Danmark,Individual Contributor,Junior,2024-11-04,2024-12-10,36,106,12,EMP-00891,Referral
REQ-00274,Customer Support,Danmark,Specialist,Mid,2024-03-05,2024-04-02,28,114,12,EMP-00894,Job Board
REQ-00275,R&D,Finland,Individual Contributor,Mid,2023-05-28,2023-07-17,50,88,4,EMP-00899,Agency
REQ-00276,Engineering,Norge,Individual Contributor,Mid,2023-10-17,2023-11-04,18,132,4,EMP-00902,Referral
REQ-00277,Engineering,Sverige,Individual Contributor,Mid,2022-04-12,2022-05-26,44,106,8,EMP-00904,Internal
REQ-00278,Customer Support,Finland,Individual Contributor,Junior,2024-03-22,2024-04-23,32,75,9,EMP-00905,Job Board
REQ-00279,Sales,Norge,Individual Contributor,Mid,2022-05-31,2022-07-29,59,50,11,EMP-00906,LinkedIn
REQ-00280,Operations,Tyskland,Individual Contributor,Junior,2023-12-17,2024-02-17,62,140,15,EMP-00907,LinkedIn
REQ-00281,Engineering,Danmark,Individual Contributor,Junior,2023-06-25,2023-08-09,45,53,11,EMP-00912,LinkedIn
REQ-00282,Sales,Finland,Individual Contributor,Mid,2022-03-12,2022-04-08,27,83,5,EMP-00914,Internal
REQ-00283,Marketing,Finland,Individual Contributor,Mid,2022-01-27,2022-02-28,32,110,6,EMP-00916,Referral
REQ-00284,Engineering,Norge,Individual Contributor,Junior,2024-10-21,2024-12-10,50,121,4,EMP-00924,Job Board
REQ-00285,Sales,Sverige,Individual Contributor,Mid,2022-01-20,2022-02-03,14,88,14,EMP-00925,Internal
REQ-00286,Customer Support,Norge,Individual Contributor,Junior,2024-10-29,2024-12-10,42,51,10,EMP-00926,Referral
REQ-00287,Marketing,Sverige,Individual Contributor,Junior,2023-04-30,2023-06-01,32,38,13,EMP-00935,Referral
REQ-00288,Operations,Danmark,Individual Contributor,Junior,2024-03-09,2024-04-18,40,38,7,EMP-00937,Job Board
REQ-00289,Sales,Norge,Individual Contributor,Mid,2022-08-26,2022-10-05,40,50,4,EMP-00939,LinkedIn
REQ-00290,Sales,Norge,Individual Contributor,Junior,2023-08-16,2023-10-10,55,95,9,EMP-00947,Referral
REQ-00291,Customer Support,Danmark,Individual Contributor,Junior,2022-08-21,2022-10-04,44,65,9,EMP-00953,Internal
REQ-00292,HR,Danmark,Individual Contributor,Junior,2023-02-07,2023-03-18,39,49,4,EMP-00954,Referral
REQ-00293,Engineering,Norge,Individual Contributor,Junior,2024-07-27,2024-09-18,53,142,3,EMP-00955,LinkedIn
REQ-00294,R&D,Tyskland,Individual Contributor,Junior,2024-03-02,2024-03-16,14,115,6,EMP-00972,Referral
REQ-00295,Customer Support,Tyskland,Individual Contributor,Mid,2023-02-05,2023-03-14,37,85,8,EMP-00973,LinkedIn
REQ-00296,Sales,Norge,Individual Contributor,Junior,2024-10-27,2024-12-10,44,72,8,EMP-00977,LinkedIn
REQ-00297,Customer Support,Finland,Specialist,Mid,2022-05-29,2022-07-11,43,121,10,EMP-00979,Internal
REQ-00298,Engineering,Finland,Individual Contributor,Junior,2023-10-04,2023-12-27,84,77,4,EMP-00984,LinkedIn
REQ-00299,Marketing,Sverige,Individual Contributor,Mid,2023-06-27,2023-07-11,14,47,5,EMP-00991,LinkedIn
REQ-00300,Customer Support,Finland,Individual Contributor,Mid,2022-05-10,2022-06-12,33,39,14,EMP-00992,Internal
REQ-00301,Engineering,Tyskland,Individual Contributor,Mid,2022-02-07,2022-03-19,40,67,7,EMP-00994,Internal
REQ-00302,Engineering,Norge,Individual Contributor,Junior,2022-06-11,2022-07-31,50,70,7,EMP-00996,Agency
REQ-00303,Operations,Finland,Individual Contributor,Junior,2023-04-18,2023-05-23,35,117,9,EMP-00999,Agency
REQ-00304,Operations,Danmark,Individual Contributor,Junior,2024-11-24,2024-12-10,16,52,12,EMP-01001,LinkedIn
REQ-00305,Customer Support,Sverige,Specialist,Mid,2023-12-01,2023-12-30,29,71,14,EMP-01006,Job Board
REQ-00306,R&D,Norge,Individual Contributor,Mid,2023-06-04,2023-07-24,50,65,4,EMP-01009,LinkedIn
REQ-00307,Sales,Norge,Individual Contributor,Junior,2023-11-04,2023-12-20,46,90,7,EMP-01011,LinkedIn
REQ-00308,R&D,Danmark,Individual Contributor,Junior,2024-02-14,2024-03-09,24,118,3,EMP-01015,LinkedIn
REQ-00309,R&D,Danmark,Individual Contributor,Junior,2022-03-17,2022-04-15,29,94,9,EMP-01022,Internal
REQ-00310,Sales,Finland,Individual Contributor,Junior,2024-03-10,2024-04-12,33,48,14,EMP-01027,LinkedIn
REQ-00311,Sales,Sverige,Individual Contributor,Junior,2024-11-24,2024-12-10,16,107,14,EMP-01035,Internal
REQ-00312,R&D,Sverige,Individual Contributor,Junior,2022-06-16,2022-07-27,41,90,12,EMP-01036,Internal
REQ-00313,Customer Support,Norge,Individual Contributor,Junior,2023-03-13,2023-03-28,15,92,7,EMP-01042,Job Board
REQ-00314,Customer Support,Sverige,Individual Contributor,Junior,2024-10-27,2024-12-10,44,115,6,EMP-01044,Agency
REQ-00315,Operations,Norge,Individual Contributor,Junior,2022-07-05,2022-09-05,62,128,3,EMP-01047,Internal
REQ-00316,Sales,Norge,Individual Contributor,Mid,2023-03-22,2023-05-01,40,27,10,EMP-01050,LinkedIn
REQ-00317,Sales,Norge,Individual Contributor,Junior,2024-04-03,2024-05-17,44,47,6,EMP-01051,Job Board
REQ-00318,Operations,Sverige,Individual Contributor,Junior,2024-10-28,2024-12-10,43,68,8,EMP-01052,LinkedIn
REQ-00319,Finance,Danmark,Individual Contributor,Mid,2023-05-01,2023-05-28,27,82,9,EMP-01053,Job Board
REQ-00320,R&D,Norge,Individual Contributor,Mid,2024-07-19,2024-08-28,40,90,4,EMP-01060,Job Board
REQ-00321,R&D,Finland,Individual Contributor,Junior,2023-04-02,2023-05-21,49,109,4,EMP-01065,Referral
REQ-00322,Customer Support,Danmark,Individual Contributor,Junior,2024-11-15,2024-12-10,25,20,10,EMP-01066,Agency
REQ-00323,Engineering,Danmark,Individual Contributor,Mid,2022-01-20,2022-02-03,14,118,8,EMP-01068,Referral
REQ-00324,Finance,Norge,Individual Contributor,Junior,2024-08-24,2024-09-12,19,106,8,EMP-01069,LinkedIn
REQ-00325,Sales,Norge,Individual Contributor,Junior,2023-06-11,2023-07-01,20,81,11,EMP-01070,Referral
REQ-00326,Engineering,Sverige,Individual Contributor,Mid,2022-08-11,2022-10-07,57,116,4,EMP-01072,Internal
REQ-00327,Engineering,Norge,Individual Contributor,Junior,2024-01-26,2024-02-22,27,56,6,EMP-01084,Job Board
REQ-00328,Engineering,Finland,Individual Contributor,Junior,2024-09-13,2024-12-10,88,107,15,EMP-01092,Referral
REQ-00329,Marketing,Sverige,Individual Contributor,Junior,2023-11-30,2024-01-28,59,20,8,EMP-01095,LinkedIn
REQ-00330,Finance,Norge,Individual Contributor,Mid,2022-04-27,2022-06-16,50,72,3,EMP-01097,Agency
REQ-00331,HR,Danmark,Specialist,Mid,2022-10-16,2022-11-12,27,35,10,EMP-01099,Job Board
REQ-00332,Operations,Finland,Specialist,Mid,2024-04-07,2024-04-21,14,84,13,EMP-01100,Agency
REQ-00333,Customer Support,Danmark,Specialist,Mid,2022-08-18,2022-10-04,47,100,9,EMP-01102,Internal
REQ-00334,Engineering,Norge,Individual Contributor,Mid,2023-10-17,2023-11-24,38,83,9,EMP-01106,Referral
REQ-00335,Sales,Norge,Individual Contributor,Junior,2023-05-06,2023-06-21,46,133,6,EMP-01107,LinkedIn
REQ-00336,Sales,Danmark,Individual Contributor,Junior,2024-09-27,2024-11-10,44,74,15,EMP-01110,Agency
REQ-00337,Engineering,Danmark,Individual Contributor,Junior,2023-11-26,2024-01-08,43,123,14,EMP-01115,LinkedIn
REQ-00338,Engineering,Finland,Individual Contributor,Junior,2023-03-22,2023-05-02,41,121,6,EMP-01116,LinkedIn
REQ-00339,Marketing,Sverige,Individual Contributor,Junior,2022-06-13,2022-07-20,37,137,8,EMP-01117,LinkedIn
REQ-00340,Customer Support,Finland,Individual Contributor,Junior,2024-11-19,2024-12-10,21,25,4,EMP-01118,Agency
REQ-00341,Engineering,Norge,Individual Contributor,Junior,2023-05-18,2023-07-11,54,66,4,EMP-01127,LinkedIn
REQ-00342,Sales,Sverige,Individual Contributor,Junior,2022-06-19,2022-07-31,42,111,12,EMP-01132,Job Board
REQ-00343,Finance,Norge,Specialist,Junior,2022-08-22,2022-09-16,25,68,12,EMP-01133,Internal
REQ-00344,Operations,Sverige,Individual Contributor,Junior,2024-11-26,2024-12-10,14,78,12,EMP-01137,LinkedIn
REQ-00345,Marketing,Norge,Individual Contributor,Mid,2022-09-07,2022-11-05,59,133,5,EMP-01138,Referral
REQ-00346,Sales,Sverige,Individual Contributor,Junior,2024-03-25,2024-04-20,26,58,15,EMP-01139,Referral
REQ-00347,Sales,Danmark,Individual Contributor,Junior,2023-10-27,2023-11-27,31,150,4,EMP-01142,Job Board
REQ-00348,Marketing,Tyskland,Individual Contributor,Mid,2022-05-01,2022-06-21,51,126,8,EMP-01144,Internal
REQ-00349,Engineering,Danmark,Individual Contributor,Junior,2023-12-13,2024-01-23,41,117,3,EMP-01145,LinkedIn
REQ-00350,Operations,Norge,Individual Contributor,Junior,2023-05-15,2023-06-07,23,64,11,EMP-01146,Agency
REQ-00351,Sales,Norge,Individual Contributor,Junior,2024-10-06,2024-12-10,65,92,7,EMP-01150,Referral
REQ-00352,Customer Support,Sverige,Individual Contributor,Mid,2023-03-23,2023-04-16,24,24,9,EMP-01152,LinkedIn
REQ-00353,Sales,Norge,Individual Contributor,Mid,2022-07-28,2022-09-19,53,40,6,EMP-01156,Internal
REQ-00354,Finance,Sverige,Individual Contributor,Mid,2021-12-29,2022-02-04,37,81,8,EMP-01159,Referral
REQ-00355,Customer Support,Norge,Individual Contributor,Mid,2022-04-25,2022-05-31,36,60,12,EMP-01162,Job Board
REQ-00356,Operations,Finland,Individual Contributor,Mid,2023-04-29,2023-06-05,37,59,7,EMP-01165,Job Board
REQ-00357,Sales,Sverige,Individual Contributor,Junior,2024-11-08,2024-12-10,32,92,5,EMP-01174,LinkedIn
REQ-00358,HR,Sverige,Individual Contributor,Junior,2024-04-13,2024-06-13,61,103,15,EMP-01177,LinkedIn
REQ-00359,Sales,Sverige,Individual Contributor,Mid,2023-08-10,2023-09-26,47,99,6,EMP-01183,Job Board
REQ-00360,Engineering,Danmark,Individual Contributor,Mid,2022-10-12,2022-11-10,29,83,12,EMP-01184,Internal
REQ-00361,Engineering,Norge,Individual Contributor,Junior,2024-08-30,2024-10-04,35,77,13,EMP-01188,Job Board
REQ-00362,Engineering,Danmark,Individual Contributor,Mid,2021-12-24,2022-02-17,55,119,3,EMP-01190,Internal
REQ-00363,Finance,Tyskland,Individual Contributor,Mid,2024-10-27,2024-12-10,44,120,14,EMP-01191,LinkedIn
REQ-00364,HR,Danmark,Individual Contributor,Junior,2024-10-25,2024-12-10,46,128,6,EMP-01193,Referral
REQ-00365,HR,Norge,Individual Contributor,Mid,2022-09-26,2022-10-29,33,57,6,EMP-01194,Internal
REQ-00366,HR,Norge,Individual Contributor,Mid,2022-08-06,2022-08-28,22,48,12,EMP-01195,Internal
REQ-00367,Engineering,Norge,Individual Contributor,Junior,2024-05-14,2024-06-20,37,55,12,EMP-01199,LinkedIn
REQ-00368,Sales,Norge,Individual Contributor,Junior,2024-11-26,2024-12-10,14,148,13,EMP-01206,Agency
REQ-00369,Engineering,Norge,Individual Contributor,Junior,2024-09-27,2024-12-10,74,91,8,EMP-01217,Job Board
REQ-00370,HR,Sverige,Specialist,Mid,2022-03-11,2022-03-25,14,112,9,EMP-01218,Agency
REQ-00371,Operations,Tyskland,Specialist,Mid,2023-02-19,2023-03-22,31,23,6,EMP-01220,Agency
REQ-00372,Engineering,Norge,Individual Contributor,Mid,2022-02-27,2022-03-22,23,125,11,EMP-01225,Internal
REQ-00373,Engineering,Sverige,Individual Contributor,Junior,2024-10-30,2024-12-10,41,118,8,EMP-01229,Referral
REQ-00374,Sales,Norge,Individual Contributor,Mid,2022-08-02,2022-09-14,43,141,12,EMP-01235,Job Board
REQ-00375,Operations,Sverige,Individual Contributor,Junior,2022-10-31,2022-11-14,14,99,11,EMP-01237,LinkedIn
REQ-00376,Customer Support,Sverige,Individual Contributor,Mid,2023-02-19,2023-03-31,40,65,12,EMP-01238,Agency
REQ-00377,Customer Support,Norge,Individual Contributor,Junior,2023-08-11,2023-09-28,48,95,8,EMP-01239,Internal
REQ-00378,Finance,Norge,Specialist,Junior,2024-11-12,2024-12-10,28,92,11,EMP-01243,Job Board
REQ-00379,Finance,Tyskland,Individual Contributor,Mid,2024-09-13,2024-11-28,76,53,10,EMP-01247,Referral
REQ-00380,Marketing,Norge,Individual Contributor,Junior,2024-11-03,2024-11-17,14,108,12,EMP-01248,LinkedIn
REQ-00381,Sales,Sverige,Individual Contributor,Mid,2023-02-04,2023-02-18,14,51,12,EMP-01250,Agency
REQ-00382,R&D,Norge,Individual Contributor,Junior,2022-01-26,2022-02-25,30,87,4,EMP-01256,Internal
REQ-00383,Engineering,Sverige,Individual Contributor,Junior,2024-07-26,2024-09-09,45,78,9,EMP-01257,LinkedIn
REQ-00384,Customer Support,Norge,Individual Contributor,Junior,2024-11-04,2024-12-10,36,134,10,EMP-01261,LinkedIn
REQ-00385,Sales,Sverige,Individual Contributor,Mid,2021-12-13,2022-01-30,48,44,4,EMP-01262,Referral
REQ-00386,Engineering,Sverige,Individual Contributor,Mid,2022-04-21,2022-05-22,31,92,7,EMP-01264,Internal
REQ-00387,Engineering,Norge,Individual Contributor,Mid,2022-09-01,2022-09-30,29,31,14,EMP-01271,Internal
REQ-00388,Sales,Danmark,Individual Contributor,Junior,2022-04-28,2022-05-22,24,49,15,EMP-01276,Internal
REQ-00389,Sales,Norge,Individual Contributor,Mid,2022-08-31,2022-10-20,50,85,10,EMP-01280,Job Board
REQ-00390,Operations,Sverige,Individual Contributor,Junior,2024-08-30,2024-10-16,47,20,11,EMP-01282,LinkedIn
REQ-00391,Marketing,Danmark,Individual Contributor,Junior,2023-04-15,2023-05-18,33,70,4,EMP-01284,Agency
REQ-00392,Customer Support,Finland,Individual Contributor,Mid,2022-08-02,2022-09-08,37,116,4,EMP-01285,Internal
REQ-00393,HR,Sverige,Individual Contributor,Mid,2022-07-12,2022-08-13,32,140,13,EMP-01287,LinkedIn
REQ-00394,Marketing,Sverige,Individual Contributor,Junior,2022-09-20,2022-10-30,40,54,13,EMP-01293,Agency
REQ-00395,Marketing,Norge,Individual Contributor,Mid,2023-07-22,2023-08-27,36,86,14,EMP-01294,LinkedIn
REQ-00396,Customer Support,Sverige,Individual Contributor,Junior,2023-11-04,2023-11-18,14,63,10,EMP-01298,Internal
REQ-00397,Engineering,Danmark,Individual Contributor,Junior,2023-04-30,2023-05-27,27,149,3,EMP-01302,LinkedIn
REQ-00398,Marketing,Sverige,Individual Contributor,Junior,2023-09-23,2023-10-24,31,103,12,EMP-01303,Job Board
REQ-00399,Customer Support,Sverige,Individual Contributor,Junior,2024-08-04,2024-09-18,45,64,11,EMP-01304,Job Board
REQ-00400,Sales,Norge,Individual Contributor,Junior,2022-07-20,2022-08-08,19,115,4,EMP-01305,LinkedIn
REQ-00401,Operations,Danmark,Individual Contributor,Junior,2022-11-16,2022-12-27,41,142,7,EMP-01307,Job Board
REQ-00402,Engineering,Tyskland,Individual Contributor,Junior,2024-11-17,2024-12-10,23,98,15,EMP-01309,Referral
REQ-00403,Customer Support,Sverige,Individual Contributor,Junior,2022-08-28,2022-10-03,36,115,9,EMP-01312,Job Board
REQ-00404,Sales,Danmark,Individual Contributor,Junior,2023-05-26,2023-06-18,23,78,9,EMP-01318,LinkedIn
REQ-00405,Engineering,Norge,Individual Contributor,Junior,2022-11-01,2022-11-19,18,148,6,EMP-01319,Job Board
REQ-00406,Engineering,Sverige,Individual Contributor,Junior,2024-06-08,2024-07-19,41,140,3,EMP-01320,LinkedIn
REQ-00407,Engineering,Norge,Individual Contributor,Mid,2023-08-01,2023-09-01,31,30,14,EMP-01326,LinkedIn
REQ-00408,Engineering,Norge,Individual Contributor,Junior,2024-10-26,2024-12-10,45,136,15,EMP-01328,LinkedIn
REQ-00409,Customer Support,Sverige,Specialist,Mid,2022-10-29,2022-12-09,41,61,8,EMP-01331,Internal
REQ-00410,Sales,Sverige,Individual Contributor,Junior,2023-08-08,2023-09-18,41,25,9,EMP-01332,Job Board
REQ-00411,Operations,Sverige,Individual Contributor,Junior,2024-11-26,2024-12-10,14,67,4,EMP-01337,Agency
REQ-00412,Sales,Danmark,Individual Contributor,Junior,2024-10-28,2024-12-10,43,55,3,EMP-01338,Job Board
REQ-00413,Marketing,Sverige,Individual Contributor,Junior,2024-06-02,2024-07-13,41,76,8,EMP-01340,Referral
REQ-00414,Engineering,Tyskland,Individual Contributor,Junior,2024-10-28,2024-12-10,43,81,15,EMP-01345,Job Board
REQ-00415,Engineering,Norge,Individual Contributor,Junior,2024-02-01,2024-03-02,30,133,12,EMP-01347,Agency
REQ-00416,Sales,Sverige,Individual Contributor,Junior,2024-01-09,2024-02-06,28,41,12,EMP-01352,Job Board
REQ-00417,Finance,Sverige,Individual Contributor,Mid,2024-01-07,2024-03-06,59,130,13,EMP-01353,LinkedIn
REQ-00418,Engineering,Danmark,Individual Contributor,Mid,2022-09-30,2022-11-27,58,87,8,EMP-01357,Internal
REQ-00419,Engineering,Norge,Individual Contributor,Junior,2024-10-07,2024-12-10,64,58,7,EMP-01358,LinkedIn
REQ-00420,Operations,Danmark,Individual Contributor,Junior,2023-08-05,2023-08-25,20,112,11,EMP-01359,Referral
REQ-00421,Marketing,Finland,Individual Contributor,Junior,2023-01-14,2023-02-20,37,64,6,EMP-01366,Job Board
REQ-00422,Sales,Tyskland,Individual Contributor,Junior,2024-11-25,2024-12-10,15,112,12,EMP-01369,LinkedIn
REQ-00423,Finance,Danmark,Individual Contributor,Junior,2024-09-25,2024-10-20,25,100,15,EMP-01370,Job Board
REQ-00424,Engineering,Norge,Individual Contributor,Junior,2024-10-01,2024-12-10,70,60,5,EMP-01371,Agency
REQ-00425,Engineering,Norge,Individual Contributor,Mid,2022-07-21,2022-09-02,43,132,10,EMP-01379,Job Board
REQ-00426,Sales,Tyskland,Individual Contributor,Mid,2021-12-14,2022-01-07,24,66,8,EMP-01381,Internal
REQ-00427,Engineering,Sverige,Individual Contributor,Mid,2022-10-02,2022-11-24,53,92,8,EMP-01386,Internal
REQ-00428,Sales,Tyskland,Individual Contributor,Junior,2023-11-04,2023-11-30,26,101,8,EMP-01391,Job Board
REQ-00429,Operations,Norge,Individual Contributor,Junior,2024-10-15,2024-11-20,36,54,5,EMP-01394,Job Board
REQ-00430,Sales,Norge,Individual Contributor,Junior,2024-07-20,2024-08-15,26,102,7,EMP-01396,Agency
REQ-00431,Engineering,Norge,Individual Contributor,Mid,2023-06-13,2023-08-04,52,148,14,EMP-01397,Job Board
REQ-00432,Engineering,Norge,Individual Contributor,Mid,2023-01-04,2023-02-17,44,65,15,EMP-01403,Job Board
REQ-00433,Engineering,Sverige,Individual Contributor,Junior,2024-10-11,2024-11-13,33,48,5,EMP-01404,Agency
REQ-00434,Marketing,Danmark,Individual Contributor,Junior,2022-12-27,2023-02-15,50,122,10,EMP-01405,LinkedIn
REQ-00435,Finance,Tyskland,Individual Contributor,Junior,2024-10-09,2024-12-10,62,113,13,EMP-01406,Job Board
REQ-00436,Finance,Danmark,Individual Contributor,Junior,2023-09-10,2023-10-22,42,80,10,EMP-01407,LinkedIn
REQ-00437,Engineering,Finland,Individual Contributor,Junior,2024-04-18,2024-05-25,37,129,14,EMP-01408,LinkedIn
REQ-00438,Sales,Finland,Individual Contributor,Junior,2024-10-30,2024-12-10,41,72,3,EMP-01413,LinkedIn
REQ-00439,Finance,Finland,Individual Contributor,Mid,2022-04-25,2022-06-12,48,39,10,EMP-01419,LinkedIn
REQ-00440,Engineering,Tyskland,Individual Contributor,Junior,2024-06-18,2024-07-12,24,110,8,EMP-01422,Job Board
REQ-00441,Sales,Finland,Individual Contributor,Junior,2023-06-13,2023-07-19,36,142,15,EMP-01424,Referral
REQ-00442,Engineering,Danmark,Individual Contributor,Junior,2024-06-29,2024-07-27,28,53,12,EMP-01427,Job Board
REQ-00443,Engineering,Sverige,Individual Contributor,Junior,2024-08-21,2024-09-24,34,50,9,EMP-01436,Job Board
REQ-00444,Operations,Finland,Individual Contributor,Junior,2022-12-08,2023-01-27,50,52,4,EMP-01439,Job Board
REQ-00445,R&D,Tyskland,Individual Contributor,Mid,2023-02-13,2023-03-19,34,128,13,EMP-01440,Job Board
REQ-00446,Engineering,Norge,Individual Contributor,Junior,2022-04-10,2022-05-13,33,141,7,EMP-01446,Internal
REQ-00447,Customer Support,Sverige,Individual Contributor,Junior,2024-11-07,2024-12-10,33,116,6,EMP-01448,Referral
REQ-00448,HR,Sverige,Individual Contributor,Junior,2024-03-03,2024-04-01,29,145,3,EMP-01455,LinkedIn
REQ-00449,Customer Support,Norge,Specialist,Mid,2022-02-02,2022-03-22,48,24,6,EMP-01456,Referral
REQ-00450,Engineering,Norge,Individual Contributor,Mid,2022-06-24,2022-07-12,18,82,11,EMP-01460,Referral
REQ-00451,Sales,Sverige,Individual Contributor,Junior,2023-04-02,2023-04-25,23,33,5,EMP-01469,Referral
REQ-00452,Operations,Sverige,Specialist,Mid,2023-01-04,2023-03-02,57,150,10,EMP-01472,Job Board
REQ-00453,Engineering,Sverige,Individual Contributor,Junior,2024-09-07,2024-10-09,32,136,8,EMP-01473,Job Board
REQ-00454,R&D,Norge,Individual Contributor,Junior,2023-05-05,2023-05-23,18,86,3,EMP-01475,LinkedIn
REQ-00455,Sales,Sverige,Individual Contributor,Mid,2024-09-14,2024-10-11,27,37,11,EMP-01481,Agency
REQ-00456,Sales,Norge,Individual Contributor,Junior,2024-10-17,2024-12-10,54,124,8,EMP-01484,Referral
REQ-00457,Engineering,Norge,Individual Contributor,Mid,2022-01-10,2022-03-07,56,66,5,EMP-01485,Internal
REQ-00458,Sales,Tyskland,Individual Contributor,Mid,2022-10-24,2022-11-12,19,149,11,EMP-01486,Agency
REQ-00459,Sales,Tyskland,Individual Contributor,Junior,2023-01-05,2023-02-07,33,119,14,EMP-01490,LinkedIn
REQ-00460,Engineering,Norge,Individual Contributor,Junior,2023-06-18,2023-08-01,44,60,10,EMP-01497,LinkedIn
REQ-00461,Customer Support,Danmark,Individual Contributor,Junior,2023-11-11,2023-12-22,41,126,3,EMP-01505,LinkedIn
REQ-00462,R&D,Sverige,Individual Contributor,Junior,2024-03-28,2024-05-01,34,95,4,EMP-01509,LinkedIn
